epoch,chunk_id,train_loss,train_acc,val_loss,val_acc
1,1,0.049101594437709346,0.10878243512974052,0.08680035944284939,0.015544041450777202
1,2,0.041298659066641756,0.23652694610778444,0.05299885143101254,0.06217616580310881
1,3,0.03806735876717134,0.33532934131736525,0.045813575232584856,0.43523316062176165
1,4,0.03723489002003046,0.33532934131736525,0.04008243641542769,0.5440414507772021
1,5,0.03724538355679093,0.4161676646706587,0.039729031642483925,0.5647668393782384
1,6,0.03174708325873603,0.3906093906093906,0.03602624296390456,0.5233160621761658
1,7,0.029040756997290428,0.3996003996003996,0.04995679888190277,0.43523316062176165
1,8,0.03551302871366332,0.36863136863136864,0.03432076263188389,0.6062176165803109
1,9,0.030210349418513187,0.43156843156843155,0.02883806966433369,0.5699481865284974
1,10,0.027739286921419703,0.4935064935064935,0.035817579111118124,0.538860103626943
2,1,0.029410806588620365,0.4221556886227545,0.038077606472133665,0.5181347150259067
2,2,0.02983858274991165,0.4630738522954092,0.030482394726937298,0.5440414507772021
2,3,0.027338975552514105,0.4421157684630739,0.030813055894689856,0.5544041450777202
2,4,0.029803552332068394,0.43812375249500995,0.03790143177720327,0.49740932642487046
2,5,0.026095857092750047,0.499001996007984,0.02498649431596428,0.5854922279792746
2,6,0.025200765263605547,0.45454545454545453,0.027853773086491028,0.47150259067357514
2,7,0.024665612444564416,0.45454545454545453,0.029820844646291773,0.5699481865284974
2,8,0.025237443227019464,0.5074925074925075,0.03715696426499345,0.48186528497409326
2,9,0.026879846722215085,0.4695304695304695,0.03484985702357453,0.5803108808290155
2,10,0.02815742430451152,0.47052947052947053,0.030291801429512898,0.44559585492227977
3,1,0.02449593526458074,0.4540918163672655,0.02385693649553882,0.5958549222797928
3,2,0.02352177413243674,0.5219560878243513,0.02658643110274033,0.6269430051813472
3,3,0.026946974914528413,0.48902195608782434,0.023966770746377205,0.5906735751295337
3,4,0.024826232351347833,0.501996007984032,0.025220885931953325,0.6217616580310881
3,5,0.02754056980896615,0.47704590818363274,0.027855943236605583,0.47150259067357514
3,6,0.026458500816554695,0.46253746253746253,0.028173440710250578,0.6113989637305699
3,7,0.023110130311480234,0.5634365634365635,0.02623590702369539,0.6528497409326425
3,8,0.024065919499565196,0.5304695304695305,0.02750139996177792,0.6373056994818653
3,9,0.024223106930946016,0.5424575424575424,0.030805978731958283,0.5544041450777202
3,10,0.022712261026183685,0.5544455544455544,0.02442743649642608,0.6580310880829016
4,1,0.02335232138603985,0.5189620758483033,0.03236448613521426,0.47150259067357514
4,2,0.02306420409944124,0.5508982035928144,0.02928177612466125,0.5544041450777202
4,3,0.02243658945618751,0.5199600798403193,0.026212317584362363,0.5492227979274611
4,4,0.024221337887415748,0.49700598802395207,0.024225384461606908,0.6113989637305699
4,5,0.020843064869770746,0.5069860279441117,0.02626630515299444,0.616580310880829
4,6,0.021472856082342246,0.5314685314685315,0.023715248161630096,0.5492227979274611
4,7,0.02233831461827893,0.4875124875124875,0.021690828720870105,0.6062176165803109
4,8,0.022734717457563607,0.5464535464535465,0.02482272569551086,0.5595854922279793
4,9,0.021893820618386274,0.5494505494505495,0.03092026232878037,0.689119170984456
4,10,0.020923797681287572,0.5744255744255744,0.02826648385268805,0.6424870466321243
5,1,0.02009203718108926,0.5548902195608783,0.03821156862061567,0.5284974093264249
5,2,0.021972688059963864,0.5528942115768463,0.027400363463615286,0.5803108808290155
5,3,0.023392930150983815,0.49101796407185627,0.021743096633201436,0.6424870466321243
5,4,0.02256577219553812,0.5399201596806387,0.025442658354759874,0.5958549222797928
5,5,0.020618009444199756,0.5379241516966068,0.02474993647804841,0.5958549222797928
5,6,0.018876362863656404,0.5544455544455544,0.024246668780869153,0.5958549222797928
5,7,0.019418273369533258,0.5414585414585414,0.027999175501944133,0.6424870466321243
5,8,0.01803140953875386,0.5584415584415584,0.025638796389102936,0.6424870466321243
5,9,0.021685532514716718,0.5714285714285714,0.02440984872801406,0.5595854922279793
5,10,0.02248540048400958,0.5604395604395604,0.027528437578307533,0.5699481865284974
6,1,0.02174824942461031,0.49001996007984033,0.03167493839704774,0.5440414507772021
